address.allowNewValuationInfo,address.city.name,address.cityName,address.daysOnMarket.realtors,address.houseNumber,address.isPublic,address.municipality.municipalityCode,address.municipality.name,address.place.bbox,address.place.coordinates.lat,address.place.coordinates.lon,address.place.coordinates.type,address.place.name,address.placeName,address.province.name,address.province.provinceCode,address.province.regionCode,address.road.municipalityCode,address.road.name,address.road.roadCode,address.roadName,address.zip.name,address.zip.zipCode,address.zipCode,addressType,coordinates.lat,coordinates.lon,coordinates.type,energyLabel,housingArea,lotArea,monthlyExpense,numberOfRooms,perAreaPrice,priceCash,priceChangePercentage,realtor.associationOfDanishRealtorsMember,realtor.associationOfEloMember,realtor.broadcast.target,realtor.isNew,realtor.preferred,realtor.realtorBranch.name,secondaryAddressType,timeOnMarket.current.days,yearBuilt,address.floor,address.door
False,Herlufmagle,Herlufmagle,,47,True,0,,,0,0,,Ravnstrup,Ravnstrup,,,0,0,Ravnstrupvej,0,Ravnstrupvej,Herlufmagle,4160,4160,villa,55.32168,11.736831,EPSG4326,d,190.0,15000.0,2165,7.0,14517,2645000,0.0,False,False,0,False,False,,farm,0,1920.0,,
False,Holmegaard,Holmegaard,,3,True,0,,,0,0,,Fensmark,Fensmark,,,0,0,Morbærvænget,0,Morbærvænget,Holmegaard,4684,4684,villa,55.276855,11.786062,EPSG4326,a2015,167.0,736.0,3491,5.0,23388,4598000,0.0,False,False,0,False,False,,,0,2023.0,,
False,Rødovre,Rødovre,,4N,True,0,,,0,0,,,,,,0,0,Agerskovvej,0,Agerskovvej,Rødovre,2610,2610,condo,55.670853,12.462571,EPSG4326,d,52.0,,2463,1.0,28750,1495000,0.0,False,False,0,False,False,,,0,1968.0,2,
False,Hørsholm,Hørsholm,,1D,True,0,,,0,0,,,,,,0,0,Ved Møllen,0,Ved Møllen,Hørsholm,2970,2970,condo,55.87673,12.497178,EPSG4326,c,131.0,,5276,3.0,31679,4150000,0.0,False,False,0,False,False,,,0,1773.0,,
False,Malling,Malling,,58,True,0,,,0,0,,,,,,0,0,Krekærtoften,0,Krekærtoften,Malling,8340,8340,terraced house,56.02737,10.190664,EPSG4326,a2015,133.0,174.0,1980,4.0,23053,2945000,0.0,False,False,0,False,False,,,0,2018.0,,
False,Silkeborg,Silkeborg,,10,True,0,,,0,0,,Sejs-Svejbæk,Sejs-Svejbæk,,,0,0,Brassøvej,0,Brassøvej,Silkeborg,8600,8600,villa,56.14006,9.5922785,EPSG4326,c,225.0,1193.0,7327,5.0,47857,10495000,0.0,False,False,0,False,False,,,0,2006.0,,
False,Værløse,Værløse,,33,True,0,,,0,0,,,,,,0,0,Bøgehaven,0,Bøgehaven,Værløse,3500,3500,terraced house,55.788464,12.338856,EPSG4326,b,113.0,363.0,4301,4.0,49159,5700000,0.0,False,False,0,False,False,,,0,2008.0,,
False,København S,København S,,70,True,0,,,0,0,,,,,,0,0,Robert Jacobsens Vej,0,Robert Jacobsens Vej,København S,2300,2300,condo,55.617744,12.572078,EPSG4326,b,97.0,,4178,3.0,41701,4045000,0.0,False,False,0,False,False,,,0,2010.0,5,4
False,Aars,Aars,,7,True,0,,,0,0,,,,,,0,0,Blåmejsevej,0,Blåmejsevej,Aars,9600,9600,villa,56.810814,9.509631,EPSG4326,b,145.0,818.0,1825,4.0,16847,2495000,0.0,False,False,0,False,False,,,0,1976.0,,
False,Ikast,Ikast,,24,True,0,,,0,0,,,,,,0,0,Åbrynet,0,Åbrynet,Ikast,7430,7430,full year plot,56.155857,9.143514,EPSG4326,,,922.0,748,,1188,1095000,0.0,False,False,0,False,False,,,0,,,
False,Højbjerg,Højbjerg,,119,True,0,,,0,0,,,,,,0,0,Rundhøj Allé,0,Rundhøj Allé,Højbjerg,8270,8270,condo,56.118073,10.175112,EPSG4326,c,86.0,,1507,3.0,20058,1725000,0.0,False,False,0,False,False,,terraced house,0,1967.0,0,th
False,Dyssegård,Dyssegård,,20,True,0,,,0,0,,,,,,0,0,Slettevej,0,Slettevej,Dyssegård,2870,2870,terraced house,55.7289,12.531812,EPSG4326,d,101.0,410.0,5259,5.0,69892,8450000,0.0,False,False,0,False,False,,,0,1943.0,,
False,Birkerød,Birkerød,,22,True,0,,,0,0,,,,,,0,0,Hasselbakken,0,Hasselbakken,Birkerød,3460,3460,villa,55.821453,12.431349,EPSG4326,e,130.0,1145.0,6112,6.0,46630,6295000,0.0,False,False,0,False,False,,,0,1962.0,,
False,Mørkøv,Mørkøv,,18,True,0,,,0,0,,,,,,0,0,Nykøbingvej,0,Nykøbingvej,Mørkøv,4440,4440,villa,55.65754,11.499236,EPSG4326,c,118.0,985.0,1691,4.0,12433,1625000,0.0,False,False,0,False,False,,,0,1953.0,,
False,Taastrup,Taastrup,,1,True,0,,,0,0,,Høje Taastrup,Høje Taastrup,,,0,0,Leen D,0,Leen D,Taastrup,2630,2630,condo,55.65044,12.274869,EPSG4326,c,98.0,,4178,4.0,23418,2295000,0.0,False,False,0,False,False,,,0,1972.0,3,2
False,Brørup,Brørup,,6,True,0,,,0,0,,,,,,0,0,Krokusvej,0,Krokusvej,Brørup,6650,6650,villa,55.488304,9.024355,EPSG4326,d,118.0,1050.0,1276,4.0,8656,1195000,0.0,False,False,0,False,False,,,0,1973.0,,
False,Svendborg,Svendborg,,11,True,0,,,0,0,,Thurø,Thurø,,,0,0,Saugskær Alle,0,Saugskær Alle,Svendborg,5700,5700,villa,55.041775,10.661434,EPSG4326,c,248.0,1808.0,6815,5.0,38185,11700000,0.0,False,False,0,False,False,,,0,1969.0,,
False,Værløse,Værløse,,12,True,0,,,0,0,,Kirke Værløse,Kirke Værløse,,,0,0,Laanshøj Alle,0,Laanshøj Alle,Værløse,3500,3500,villa,55.775352,12.326155,EPSG4326,a2020,116.0,138.0,2510,4.0,39181,4545000,0.0,False,False,0,False,False,,,0,2021.0,,
False,Viby J,Viby J,,15A,True,0,,,0,0,,Stavtrup,Stavtrup,,,0,0,Klokkeskovvej,0,Klokkeskovvej,Viby J,8260,8260,condo,56.132404,10.115218,EPSG4326,d,80.0,,3282,3.0,19688,1575000,0.0,False,False,0,False,False,,,0,1990.0,,
False,Aalborg,Aalborg,,105,True,0,,,0,0,,,,,,0,0,Blomstermarken,0,Blomstermarken,Aalborg,9000,9000,condo,57.026424,9.901408,EPSG4326,c,86.0,,2270,3.0,18547,1595000,0.0,False,False,0,False,False,,,0,1970.0,0,tv
False,Ry,Ry,,27,True,0,,,0,0,,Gl. Rye,Gl. Rye,,,0,0,Skovstedvej,0,Skovstedvej,Ry,8680,8680,villa,56.065838,9.69928,EPSG4326,c,177.0,783.0,2795,4.0,25563,4995000,0.0,False,False,0,False,False,,,0,2002.0,,
False,Køge,Køge,,4C,True,0,,,0,0,,,,,,0,0,Søndre Badevej,0,Søndre Badevej,Køge,4600,4600,condo,55.45127,12.191728,EPSG4326,a2010,112.0,,4237,3.0,37455,4195000,0.0,False,False,0,False,False,,,0,2017.0,,
False,Fjerritslev,Fjerritslev,,11,True,0,,,0,0,,,,,,0,0,Drosselvej,0,Drosselvej,Fjerritslev,9690,9690,villa,57.084282,9.263717,EPSG4326,d,126.0,933.0,1295,4.0,4466,840000,0.0,False,False,0,False,False,,,0,1965.0,,
False,Aarhus C,Aarhus C,,10,True,0,,,0,0,,,,,,0,0,Horsensgade,0,Horsensgade,Aarhus C,8000,8000,cooperative,56.14525,10.193638,EPSG4326,d,80.0,,10963,3.0,1862,149000,0.0,False,False,0,False,False,,,0,1913.0,1,th
False,Blåvand,Blåvand,,11,True,0,,,0,0,,Ho,Ho,,,0,0,Hovænget,0,Hovænget,Blåvand,6857,6857,villa,55.550053,8.226331,EPSG4326,a2010,158.0,700.0,3247,5.0,15348,2425000,0.0,False,False,0,False,False,,holiday house,0,2012.0,,
False,Viby J,Viby J,,78,True,0,,,0,0,,Stavtrup,Stavtrup,,,0,0,Søskrænten,0,Søskrænten,Viby J,8260,8260,terraced house,56.132977,10.130075,EPSG4326,b,83.0,,3656,3.0,28651,2378000,0.0,False,False,0,False,False,,,0,1991.0,,
False,København K,København K,,58,True,0,,,0,0,,,,,,0,0,Margretheholmsvej,0,Margretheholmsvej,København K,1432,1432,condo,55.68584,12.6156,EPSG4326,a2015,91.0,,4843,4.0,55989,5095000,0.0,False,False,0,False,False,,,0,2014.0,2,th
False,Haderslev,Haderslev,,10,False,0,,,0,0,,,,,,0,0,Laurids Skaus Gade,0,Laurids Skaus Gade,Haderslev,6100,6100,villa,55.25424,9.486724,EPSG4326,e,235.0,587.0,2546,8.0,9766,2295000,0.0,False,False,0,False,False,,,0,1890.0,,
False,Skødstrup,Skødstrup,,793B,True,0,,,0,0,,,,,,0,0,Grenåvej,0,Grenåvej,Skødstrup,8541,8541,condo,56.280655,10.319729,EPSG4326,d,177.0,,4107,4.0,11853,2098000,0.0,False,False,0,False,False,,,0,1877.0,1,
False,Kongens Lyngby,Kongens Lyngby,,26,True,0,,,0,0,,,,,,0,0,Ulrikkenborg Alle,0,Ulrikkenborg Alle,Kongens Lyngby,2800,2800,condo,55.76563,12.501409,EPSG4326,d,54.0,,4816,2.0,45370,2450000,0.0,False,False,0,False,False,,,0,1934.0,1,th
False,Aarhus C,Aarhus C,,44C,True,0,,,0,0,,,,,,0,0,Skovvejen,0,Skovvejen,Aarhus C,8000,8000,condo,56.167942,10.218883,EPSG4326,d,37.0,,1935,1.0,43189,1598000,0.0,False,False,0,False,False,,,0,1936.0,3,th
